name,quadrant,ring,isNew,description,ITR BE,ITR NL,FM,inRadar,
Serverless,"Platforms, infrastructure & Data",Assess,TRUE,"Framework to develop, test and deploy Serverless functions to AWS, GC and Azure",X,X,X,Y,
Shopware,"Frameworks, CMS & Programmeertalen",Assess,TRUE,,X,,,Y,
SimpleSAML,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,,X,,N,
Sitecore,"Frameworks, CMS & Programmeertalen",Hold,TRUE,,X,,,Y,
SonarQube,Tooling en testing,Trial,TRUE,Code Quality and Security tooling,,X,,Y,
Sonata CMS,"Frameworks, CMS & Programmeertalen",Hold,TRUE,Symfony based CMS,X,,,N,
Stencil,"Frameworks, CMS & Programmeertalen",Trial,TRUE,"Stencil is a toolchain for building reusable, scalable Design Systems",,,X,Y,
Storybook,Tooling en testing,Trial,TRUE,"Storybook is an open source tool for developing UI components in isolation for React, Vue, and Angular",,X,X,Y,
Svelte,"Frameworks, CMS & Programmeertalen",Assess,TRUE,JS Frontend Framework,,,X,Y,
SVN,"Platforms, infrastructure & Data",Hold,TRUE,,,X,,Y,
Sylius,"Frameworks, CMS & Programmeertalen",Trial,TRUE,Symfony based e-commerce framework,X,,,Y,
Symfony,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,,,Y,
Tailwind.css,"Frameworks, CMS & Programmeertalen",Trial,TRUE,Utility-first CSS framework,,,X,Y,
Teamcity,"Platforms, infrastructure & Data",Assess,TRUE,CI/ CD Server,,,X,Y,
TestCafe,Tooling en testing,Assess,TRUE,A node.js tool to automate end-to-end web testing,,,X,Y,
Three.js,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,JS 3D Library,X,,,Y,
Typescript,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,Superset of JS,X,X,X,Y,
Umbraco,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,,Y,
Umbraco Heartcore,"Frameworks, CMS & Programmeertalen",Trial,TRUE,,,X,,N,
Umbraco uCommerce,"Frameworks, CMS & Programmeertalen",Trial,TRUE,,,X,,Y,
Vagrant,Tooling en testing,Adopt,TRUE,,X,,,N,
Varnish,"Platforms, infrastructure & Data",Adopt,TRUE,Caching,X,X,,Y,
Visual Studio,Tooling en testing,Adopt,TRUE,,X,X,,N,
VMware,"Platforms, infrastructure & Data",Adopt,TRUE,,X,,,Y,
Vue.JS,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,JS Frontend Framework,X,X,X,Y,
Vuestorefront,"Frameworks, CMS & Programmeertalen",Trial,TRUE,,X,,,Y,
WCAG 2.1,Technieken,Adopt,TRUE,,X,X,X,Y,
Web assembly,"Frameworks, CMS & Programmeertalen",Assess,TRUE,,X,,X,N,
Web components,Technieken,Adopt,TRUE,A suite of different technologies allowing you to create reusable custom elements for the web,,,X,Y,
Webdriver,Tooling en testing,Assess,TRUE,WebDriver is a remote control interface that enables introspection and control of user agents,,,X,Y,
WebPack,Tooling en testing,Adopt,TRUE,Module Bundler,X,,X,Y,
WordPress,"Frameworks, CMS & Programmeertalen",Adopt,TRUE,,X,X,,Y,
Yarn,Tooling en testing,Adopt,TRUE,Package manager,X,X,X,Y,
Yarn workspaces,Technieken,Assess,TRUE,Private space for bundles packages ,,,X,N,
Yii PHP Framework,"Frameworks, CMS & Programmeertalen",Hold,TRUE,,,X,,Y,
Zabbix,Tooling en testing,Adopt,TRUE,Monitoring,X,X,,N,
Ansible,Tooling en testing,Adopt,TRUE,,X,X,,N,
